# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
fb4ccb3245d5edca0ff6a2078f07b626	49.0	0.0	23.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4a6b3a831ad7e4c5bc074d10deff5cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0
b79358a909967564c973b5ed8a0da436	0.0	115.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b40bbfe6048944b9d9aa84d1216edf7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	10.0	0.0
b437bfd0c72c851687f21d3085886c55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	40.0	30.0	50.0
980785acd00c0b95c377c3bed49b2788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0
ed81d7529dc922d2ee49f406cfae2b37	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96699bedc36f4290e6aebac9e7c2de9e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	0.0
89cc15d84f2f4b4b5dc5494046e0d9c9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	12.0	9.0	0.0	16.0	106.0	0.0
2b5b0485d437aebbb2d7f4d459ef69fb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	48.0	0.0	0.0
88c45a00f04eb38a8a0d49855b30af60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0
90c25286e3f4cbd71a1835450651f9a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	31.0	92.0
4bec4cfde8447fd43d3bc240f2b81952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	32.0	55.0	0.0	40.0
653b31faad720d647c6bbe01f39f82ba	0.0	0.0	0.0	0.0	0.0	58.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03143f3d8ca2215de6a0334f899b013b	50.0	35.0	43.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
